n_estimators,min_child_weight,max_depth,learning_rate,gamma,log_loss,mean_test_score
50,1,6,0.3,0.0,0.3480198190518651,0.905
50,2,10,0.019999999999999997,0.0,0.3885513629745435,0.8975
50,2,6,0.22999999999999998,4.0,0.2985529521590704,0.90625
100,7,10,0.11999999999999998,3.0,0.3009954893387966,0.9112500000000001
50,3,10,0.11999999999999998,0.0,0.2889638326817813,0.90625
100,8,9,0.03,5.0,0.3108904657076583,0.90625
250,5,13,0.08999999999999998,2.0,0.286471045453936,0.9125
200,4,3,0.12999999999999998,5.0,0.312055582576984,0.9
100,7,11,0.21999999999999997,2.0,0.29406696396301607,0.9125
200,2,10,0.21999999999999997,3.0,0.298750039403214,0.905
200,1,11,0.3,0.0,0.4359517799770448,0.9037499999999999
50,2,4,0.16999999999999998,2.0,0.2969296299634197,0.9075
100,8,8,0.049999999999999996,4.0,0.3050895098791533,0.9099999999999999
50,5,3,0.01,4.0,0.5001728718203692,0.8887499999999999
250,1,8,0.019999999999999997,0.0,0.32798907290489365,0.9099999999999999
50,5,10,0.20999999999999996,3.0,0.291543755739576,0.9087500000000001
50,1,10,0.26999999999999996,3.0,0.2993711771616923,0.9037499999999999
50,8,5,0.01,4.0,0.4937614330682264,0.89875
250,4,13,0.05999999999999999,4.0,0.30397348121597273,0.9125
100,1,13,0.09999999999999998,0.0,0.3580808567569173,0.9125
250,7,13,0.039999999999999994,5.0,0.3067945524005392,0.9075
150,5,8,0.09999999999999998,3.0,0.29117727444736224,0.9099999999999999
50,7,14,0.07999999999999999,5.0,0.3101824905071867,0.9075
200,6,4,0.23999999999999996,1.0,0.3063369495392357,0.9125
150,5,5,0.13999999999999999,4.0,0.3056992698330847,0.91375
100,1,6,0.22999999999999998,5.0,0.2992338901034179,0.9075000000000001
200,2,9,0.18,1.0,0.3065765614350986,0.90625
200,3,8,0.06999999999999999,5.0,0.3020996328125306,0.9112500000000001
100,6,4,0.049999999999999996,1.0,0.28854075639684135,0.9112499999999999
150,1,4,0.05999999999999999,0.0,0.3085496370730328,0.90625
50,5,9,0.19999999999999998,3.0,0.28764147057551037,0.9125
50,6,11,0.019999999999999997,4.0,0.39833394762831426,0.9024999999999999
250,2,12,0.06999999999999999,5.0,0.2987075076535468,0.90625
200,9,5,0.06999999999999999,2.0,0.30096744822227117,0.91375
50,6,13,0.049999999999999996,4.0,0.31641538407619785,0.9112500000000001
100,2,7,0.15999999999999998,3.0,0.29456371430705963,0.90625
200,5,11,0.039999999999999994,4.0,0.3046987235721376,0.9087500000000001
100,2,8,0.29,1.0,0.32034262262222235,0.89625
250,2,4,0.21999999999999997,0.0,0.3733805705221448,0.9087500000000001
150,4,14,0.07999999999999999,4.0,0.3007983966674113,0.9125
50,5,5,0.07999999999999999,0.0,0.2903986222830806,0.91375
100,6,3,0.18,2.0,0.3091130342444407,0.9112499999999999
100,5,6,0.29,5.0,0.31034378693371906,0.89875
200,6,5,0.29,4.0,0.29576238588089276,0.90625
200,3,11,0.11999999999999998,5.0,0.2995436129444152,0.9087500000000001
150,2,11,0.19999999999999998,0.0,0.38661146542949326,0.90625
150,4,6,0.16999999999999998,0.0,0.32157645533376183,0.9087500000000001
250,7,14,0.16999999999999998,4.0,0.30962474659663614,0.9075000000000001
100,6,10,0.19999999999999998,2.0,0.2952841499752933,0.9112500000000001
150,2,12,0.21999999999999997,4.0,0.2953304408443738,0.9112500000000001
150,1,6,0.15,1.0,0.30376149497521626,0.89875
200,4,5,0.06999999999999999,4.0,0.3017974580330024,0.9100000000000001
200,8,8,0.13999999999999999,1.0,0.29969590874992,0.9099999999999999
50,1,14,0.3,2.0,0.3049279319655327,0.9037499999999999
250,3,12,0.019999999999999997,1.0,0.28779377464985556,0.9087499999999998
150,5,6,0.29,4.0,0.3007032698473914,0.9087500000000001
50,3,9,0.06999999999999999,2.0,0.29192742455729814,0.9112500000000001
150,9,8,0.20999999999999996,5.0,0.31040482258147867,0.9025000000000001
100,6,6,0.049999999999999996,4.0,0.3011415383339477,0.9099999999999999
250,9,10,0.08999999999999998,4.0,0.3052396116831753,0.9075
50,4,11,0.15999999999999998,5.0,0.30285440368742633,0.9075
150,4,3,0.06999999999999999,1.0,0.30243394542366664,0.915
150,1,6,0.039999999999999994,4.0,0.29862428533839586,0.9125
250,3,14,0.22999999999999998,4.0,0.30035432297394943,0.9037499999999999
200,5,5,0.26999999999999996,4.0,0.2897529696249842,0.9099999999999999
50,7,4,0.08999999999999998,3.0,0.2969410299722523,0.9112500000000001
150,7,8,0.15999999999999998,2.0,0.291479366958784,0.9112500000000001
150,4,14,0.18,0.0,0.34130642646467735,0.90625
200,8,11,0.24999999999999997,2.0,0.29725433551740876,0.9112500000000001
250,1,4,0.15,4.0,0.29975714661993696,0.9037500000000002
100,5,13,0.11999999999999998,4.0,0.30294376215699326,0.9125
150,9,10,0.019999999999999997,4.0,0.31317461129051366,0.9075
50,7,10,0.08999999999999998,2.0,0.2935724179738022,0.91375
200,5,9,0.20999999999999996,5.0,0.30646354071902315,0.90625
100,6,7,0.01,2.0,0.389864232765154,0.89625
250,3,7,0.21999999999999997,0.0,0.36400041872986494,0.8975
200,6,6,0.25999999999999995,5.0,0.31326019827489227,0.89875
150,7,12,0.15,2.0,0.29832731725231243,0.9087500000000001
150,8,5,0.19999999999999998,5.0,0.3055008809513491,0.9099999999999999
100,6,13,0.019999999999999997,0.0,0.3252100314446604,0.9049999999999999
250,3,6,0.16999999999999998,5.0,0.2997371762183933,0.9087500000000001
100,4,14,0.12999999999999998,3.0,0.3010010332596298,0.91375
150,8,6,0.16999999999999998,5.0,0.3072345346775812,0.90625
150,6,3,0.13999999999999999,1.0,0.2917566463438457,0.90625
50,1,3,0.15999999999999998,1.0,0.2941675364212573,0.9049999999999999
50,9,4,0.18,4.0,0.30992127014283716,0.9037499999999999
200,9,6,0.039999999999999994,5.0,0.31016834633591833,0.9037499999999999
200,9,4,0.18,0.0,0.32982614146039857,0.8862500000000001
150,1,12,0.10999999999999997,5.0,0.29813261009018016,0.9075000000000001
50,8,9,0.22999999999999998,0.0,0.3103343827306577,0.9037499999999999
250,6,14,0.27999999999999997,3.0,0.3017476972952266,0.9087500000000001
250,4,11,0.10999999999999997,5.0,0.31067391296333424,0.9087500000000001
250,8,7,0.12999999999999998,2.0,0.2895837125496832,0.915
100,5,13,0.15999999999999998,0.0,0.31742750806157827,0.9149999999999998
250,4,8,0.10999999999999997,2.0,0.2974453776559733,0.915
250,1,13,0.049999999999999996,3.0,0.2942259173300614,0.9112500000000001
200,6,7,0.23999999999999996,3.0,0.30364144948899,0.9087500000000001
250,5,11,0.01,3.0,0.3115046657141687,0.9125
250,1,9,0.15999999999999998,2.0,0.29424460287520754,0.9075
200,1,12,0.049999999999999996,0.0,0.35845142013806636,0.9075000000000001
